,lane_Connection_id,upstream_lane_id,downstream_lane_id,node_id,lane_connnection_geometry
73,3700,1965_1__1,1945_-1__1,9736,"LINESTRING(114.04784655029893 22.53762951044869 6.237826255528489e-09,114.04784769570112 22.537539166595277 6.299739585391445e-09,114.04784908364333 22.537448850541285 6.3901608675549535e-09,114.0478505271333 22.537358561063396 6.495048831311598e-09,114.04785183934088 22.53726829694204 6.6003622059539576e-09,114.04785283359796 22.537178056960467 6.692059720774617e-09,114.04785333275451 22.537082373964257 6.758781978534223e-09)"
74,3704,1965_1__1,1831_-1__3,9736,"LINESTRING(114.0478465502994 22.537629510448696 6.237826255528489e-09,114.04786323801102 22.53753667318883 5.457612715930682e-09,114.04790432112446 22.53745155312899 4.307608711349597e-09,114.04796578493453 22.537376928458634 3.057066989902495e-09,114.04812735066118 22.537307308149636 1.4381811151393896e-09)"
75,3707,4111_1__6,4251_-1__5,9737,"LINESTRING(114.05137060697695 22.53715685067668 -2.177870328523568e-09,114.05136961003639 22.537248571979184 -2.05173765933832e-09,114.05136677304307 22.537339698326978 -1.866397457728268e-09,114.05136298919498 22.537430202725265 -1.6557844585207242e-09,114.05135914670898 22.537520072761588 -1.4538333965430013e-09,114.05135469470251 22.53765273072806 -1.2422702863310168e-09)"
76,3707,4111_1__5,4251_-1__4,9737,"LINESTRING(114.05133955247267 22.53715611330502 -2.177870328523568e-09,114.05133823833374 22.537247259828447 -2.05173765933832e-09,114.05133493469157 22.537338031042022 -1.866397457728268e-09,114.05133068262457 22.53742841460327 -1.6557844585207242e-09,114.05132640565314 22.537518410672547 -1.4538333965430013e-09,114.05132157188032 22.53765173923643 -1.2422702863310168e-09)"
77,3707,4111_1__4,4251_-1__3,9737,"LINESTRING(114.05130916797235 22.53715539183641 -2.177870328523568e-09,114.05130664901695 22.537245938569605 -2.05173765933832e-09,114.05130233744046 22.537336324009058 -1.866397457728268e-09,114.05129721110583 22.537426561996178 -1.6557844585207242e-09,114.0512921313203 22.53751667074003 -1.4538333965430013e-09,114.05128636386883 22.537650685319687 -1.2422702863310168e-09)"
78,3712,4111_1__4,207_1__4,9737,"LINESTRING(114.05130916797235 22.53715539183641 5.052243068348616e-10,114.05128695040547 22.537257859610342 5.055237731921718e-10,114.05123515970456 22.537346333396183 5.059649492527889e-10,114.05116004098255 22.53742074968683 5.064382702090714e-10,114.05098853100266 22.53748177106635 5.069864528268849e-10)"
79,3712,4111_1__3,207_1__3,9737,"LINESTRING(114.05127962853348 22.537154690427965 5.052243068348616e-10,114.05125876536707 22.537247419074852 5.055237731921718e-10,114.05121030343102 22.537329561717645 5.059649492527889e-10,114.0511408142809 22.537398185560615 5.064382702090714e-10,114.05098906652859 22.537452526392915 5.069864528268849e-10)"
80,3716,1486_1__3,4111_-1__3,9737,"LINESTRING(114.05152158857682 22.53743337705811 -1.6474785979880835e-09,114.05142164700011 22.53741042477879 -2.1225083256006942e-09,114.0513368171431 22.537358867055676 -2.8218933895441028e-09,114.05127033265524 22.53728793099895 -3.565178915011458e-09,114.05122365026557 22.537153361219612 -4.3636060916542055e-09)"
81,3719,1486_1__6,207_1__5,9737,"LINESTRING(114.05151898443981 22.537519908016375 -3.179863483637746e-09,114.05142190041012 22.537517721358366 -2.6807808096003783e-09,114.05132483572622 22.53751575594063 -1.9473160226354763e-09,114.05122779658994 22.537513821021783 -1.1144840279251775e-09,114.05113078129989 22.5375119909835 -3.1729973065161563e-10,114.05098802030923 22.537509659643458 5.069864528196426e-10)"
82,3719,1486_1__5,207_1__4,9737,"LINESTRING(114.05151986438237 22.53749066906325 -3.179863483637746e-09,114.05142273365023 22.537488706423872 -2.6807808096003783e-09,114.05132561023497 22.537487063232312 -1.9473160226354763e-09,114.05122850382139 22.537485442905908 -1.1144840279251775e-09,114.05113141395589 22.537483876890782 -3.1729973065161563e-10,114.05098853100266 22.537481771066368 5.069864528196426e-10)"
83,3719,1486_1__4,207_1__3,9737,"LINESTRING(114.05152071003732 22.537462569415847 -3.179863483637746e-09,114.0514235472516 22.537460375333158 -2.6807808096003783e-09,114.0513263835145 22.53745841605139 -1.9473160226354763e-09,114.051229223832 22.537456552005505 -1.1144840279251775e-09,114.05113206810555 22.537454807645855 -3.1729973065161563e-10,114.05098906652859 22.537452526392915 5.069864528196426e-10)"
84,3724,4251_1__3,1486_-1__3,9737,"LINESTRING(114.05121553153568 22.53764856500099 -8.190284006559523e-10,114.05124070021911 22.537555756649603 -1.6887438466813314e-09,114.05129433279792 22.537476172568425 -2.9702340537427222e-09,114.05136794696529 22.537411945234844 -4.3497154490237825e-09,114.05152373605057 22.537362020143892 -5.99146701998665e-09)"
85,3727,4251_1__6,4111_-1__5,9737,"LINESTRING(114.0511190839012 22.537645677855007 -1.2381633496261202e-09,114.05112282788195 22.53755228579011 -1.6592908084591458e-09,114.05113056473407 22.53746051409396 -2.2780857478766805e-09,114.05113954362136 22.537370281120424 -2.9813323006582153e-09,114.05114765366257 22.537281509352024 -3.655814599583238e-09,114.05115479823307 22.53715172629596 -4.363641901534673e-09)"
86,3727,4251_1__5,4111_-1__4,9737,"LINESTRING(114.05115061965256 22.53764662187953 -1.2381633496261202e-09,114.0511552590027 22.53755454807473 -1.6592908084591458e-09,114.05116352238396 22.53746352745373 -2.2780857478766805e-09,114.05117305652027 22.537373458345918 -2.9813323006582153e-09,114.05118183779663 22.537284239345386 -3.655814599583238e-09,114.05118979469576 22.537152557306985 -4.363641901534673e-09)"
87,3727,4251_1__4,4111_-1__3,9737,"LINESTRING(114.05118183112188 22.53764755619055 -1.2381633496261202e-09,114.05118725683553 22.537556780128174 -1.6592908084591458e-09,114.05119588667687 22.537466486555434 -2.2780857478766805e-09,114.0512057934387 22.537376561996904 -2.9813323006582153e-09,114.05121506916397 22.537286893242378 -3.655814599583238e-09,114.05122365026548 22.537153361219612 -4.363641901534673e-09)"
88,3732,207_-1__3,4251_-1__3,9737,"LINESTRING(114.05099017668229 22.53739190168257 7.777998689562082e-09,114.05109020131707 22.537412800848028 6.106455008447799e-09,114.05117627625178 22.53746206558671 3.6503160308082636e-09,114.05124646726854 22.53753317227844 1.0944018811090444e-09,114.05128636387019 22.53765068531973 -1.2422737473814382e-09)"
89,3735,4174_-1__7,246_1__6,9738,"LINESTRING(114.05134188268492 22.53930096275411 -3.860577635350637e-09,114.05134043785162 22.53939384002855 -2.9512676501608e-08,114.05133673081731 22.539484760904557 -6.710099795251963e-08,114.05133324449241 22.53957366175394 -1.0535817424683124e-07,114.05133151117272 22.539670647673063 -1.350682909360763e-07)"
90,3735,4174_-1__6,246_1__5,9738,"LINESTRING(114.05131273399321 22.539300090232008 -3.860577635350637e-09,114.05131137458422 22.539392255503234 -2.9512676501608e-08,114.05130775302973 22.539483007273887 -6.710099795251963e-08,114.05130431908431 22.539572276380714 -1.0535817424683124e-07,114.05130260820157 22.539670307390914 -1.350682909360763e-07)"
91,3735,4174_-1__5,246_1__4,9738,"LINESTRING(114.05128358530189 22.539299217704624 -3.860577635350637e-09,114.05128186609751 22.539390646699218 -2.9512676501608e-08,114.05127776541164 22.539481192526402 -6.710099795251963e-08,114.0512739299447 22.539570820896902 -1.0535817424683124e-07,114.05127195244711 22.5396699464671 -1.350682909360763e-07)"
92,3735,4174_-1__4,246_1__3,9738,"LINESTRING(114.05125443661105 22.539298345171964 -3.860577635350637e-09,114.05125110489134 22.53938896959108 -2.9512676501608e-08,114.05124573291513 22.539479254023675 -6.710099795251963e-08,114.05124071401544 22.539569230017776 -1.0535817424683124e-07,114.05123774836213 22.539669543760326 -1.350682909360763e-07)"
93,3741,4174_-1__3,2310_-1__1,9738,"LINESTRING(114.05122528792057 22.539297472634136 6.194767365741427e-09,114.05118502242892 22.53938735629452 4.317822601958537e-09,114.05110483731266 22.539445892397957 1.5691411305491444e-09,114.05101160184603 22.539481047871433 -1.2166441037702265e-09,114.05090315525763 22.53949509203775 -3.314937706456916e-09)"
94,3744,1554_1__2,2310_-1__2,9738,"LINESTRING(114.05148217229146 22.539508029631204 -8.661800166009925e-10,114.05138621651525 22.53950877510739 -1.1634121593663045e-09,114.0512897792324 22.5395115294335 -1.5980343629705327e-09,114.05119285079185 22.53951528028689 -2.100668668472295e-09,114.05109542146266 22.539518999293833 -2.6019371169302093e-09,114.05090290271981 22.53952218199858 -3.314937663830341e-09)"
95,3744,1554_1__1,2310_-1__1,9738,"LINESTRING(114.05148236658457 22.539480939255807 -8.661800166009925e-10,114.05138559091372 22.539481690364603 -1.1634121593663045e-09,114.05128866860224 22.53948445810875 -1.5980343629705327e-09,114.05119158951456 22.539488214657553 -2.100668668472295e-09,114.0510943434904 22.539491926829985 -2.6019371169302093e-09,114.05090315525763 22.53949509203775 -3.314937663830341e-09)"
96,3748,246_-1__3,1554_-1__1,9738,"LINESTRING(114.0511790176738 22.53966885226918 -6.643517735938076e-09,114.05121401736119 22.5395777720918 -5.487311675910011e-09,114.05128823222304 22.53951293467752 -3.795672331712056e-09,114.05137815216362 22.539470822767324 -2.092061011909651e-09,114.05148256087757 22.539453848880243 -8.661799775873879e-10)"
97,3751,246_-1__4,1554_-1__2,9738,"LINESTRING(114.05114969929069 22.539668507068555 -8.02552335699147e-09,114.05118142702179 22.539576230240627 -6.551471359844618e-09,114.05125039364025 22.539506761550857 -4.381141036796353e-09,114.05133625731844 22.539458175966878 -2.0733373116909785e-09,114.05148275517037 22.53942675851832 4.162928456353088e-10)"
98,3754,246_-1__7,4174_1__6,9738,"LINESTRING(114.05106017426915 22.5396674529495 -8.02552335699147e-09,114.05105907803824 22.539576260816364 -6.67969745263697e-09,114.05105918548925 22.53948530981864 -4.707265848379071e-09,114.05106001724734 22.53939461541069 -2.696935072043308e-09,114.05106195115502 22.539292583207903 -1.1198721949730043e-09)"
99,3754,246_-1__6,4174_1__5,9738,"LINESTRING(114.05109146065051 22.539667821339 -8.02552335699147e-09,114.05109041112478 22.539576883794567 -6.67969745263697e-09,114.05109058910473 22.53948611437842 -4.707265848379071e-09,114.0510914942253 22.53939552780227 -2.696935072043308e-09,114.05109348727787 22.53929352724316 -1.1198721949730043e-09)"
100,3754,246_-1__5,4174_1__4,9738,"LINESTRING(114.05112008767783 22.539668158409924 -8.02552335699147e-09,114.05111994294137 22.53957747095353 -6.67969745263697e-09,114.05112069739434 22.539486885746218 -4.707265848379071e-09,114.05112222978644 22.539396418697194 -2.696935072043308e-09,114.05112469911481 22.539294461564804 -1.1198721949730043e-09)"
101,3754,246_-1__4,4174_1__3,9738,"LINESTRING(114.05114969929069 22.539668507068555 -8.02552335699147e-09,114.05115089309004 22.539578086306317 -6.67969745263697e-09,114.05115272240272 22.539487706213745 -4.707265848379071e-09,114.05115520299752 22.539397374445652 -2.696935072043308e-09,114.05115839992567 22.53929547038669 -1.1198721949730043e-09)"
102,3760,2310_1__1,246_1__3,9738,"LINESTRING(114.05090340779535 22.539468002076763 -3.314937657705741e-09,114.05100322737717 22.539478857340892 -2.8386428589721812e-08,114.05109797168309 22.53950950457014 -6.517982735478495e-08,114.05118345076174 22.539562049711574 -1.0306281393281384e-07,114.05123774836215 22.539669543760326 -1.3506829168870923e-07)"
103,3778,5407_-1__6,4032_-1__5,9739,"LINESTRING(114.05308601702957 22.535258069282435 2.64216026835129e-09,114.05318401201788 22.535261039368326 2.460242847599851e-09,114.05328167120639 22.535264390397124 2.1950313710546674e-09,114.05337900699566 22.53526802951211 1.8861988581065503e-09,114.05347600959344 22.535272153506366 1.5734183281463136e-09,114.05357271540944 22.535275935241952 1.2963628005647666e-09,114.05368831095403 22.535279130532686 1.0670362370391952e-09)"
